Work Order Spare Description,Work Order Spare ID,Estimated Quantity,Estimated Unit Cost,Actual Quantity,Work Order ID,UOMDescription,Account Code Name,Account Code Description,Job Code Major Description,Employee WOSpares,Spares Comment
"172-PSV-0024A/B/C Seat (S-CFBM-S, JSV-FF100, 4 X M1 X 6 / 900 X 150), запасные части предохранительного клапана",2883,1.0000000,1012.7176000,1.0000000,28933,Set,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"172-PSV-0024A/B/C Disc (SA316-S, JSV-FF100, 4 X M1 X 6 / 900 X 150), запасные части предохранительного клапана",2884,1.0000000,156.7235000,1.0000000,28933,Set,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"172-PSV-0024A/B/C Spring (INCONEL X750, JSV-FF100, 4 X M1 X 6 / 900 X 150), запасные части предохранительного клапана",2885,1.0000000,17407.7918000,1.0000000,28933,Set,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"172-PSV-0024A/B/C Gasket (BODY) (GRAPHITE, JSV-FF100, 4 X M1 X 6 / 900 X 150), запасные части предохранительного клапана",2886,1.0000000,78.8296000,1.0000000,28933,Set,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"172-PSV-0024A/B/C Holder (CF8M, JSV-FF100, 4 X M1 X 6 / 900 X 150), запасные части предохранительного клапана",2887,1.0000000,301.9788000,1.0000000,28933,Set,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"172-PSV-0024A/B/C Stem (316 SS, JSV-FF100, 4 X M1 X 6 / 900 X 150), запасные части предохранительного клапана",2888,1.0000000,373.5209000,1.0000000,28933,Set,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"172-PSV-0024A/B/C Adjust ring (CF8M, JSV-FF100, 4 X M1 X 6 / 900 X 150), запасные части предохранительного клапана",2889,1.0000000,18.0319000,1.0000000,28933,Set,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"172-PSV-0024A/B/C Gasket (Seat) (PTFE, JSV-FF100, 4 X M1 X 6 / 900 X 150), запасные части предохранительного клапана",2890,1.0000000,11.1383000,1.0000000,28933,Set,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"172-PSV-0024A/B/C Spring Pin (Steel, JSV-FF100, 4 X M1 X 6 / 900 X 150), запасные части предохранительного клапана",2891,1.0000000,4.2076000,1.0000000,28933,Set,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"172-PSV-0706/B/C Lock Nut (316-SS, JSV-FF100, 4 X M1 X 6 / 900 X 150), запасные части предохранительного клапана",2892,1.0000000,31.3346000,1.0000000,28933,Set,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"172-PSV-0024A/B/C Gasket (BODY) (GRAPHITE, JSV-FF100, 4 X M1 X 6 / 900 X 150), запасные части предохранительного клапана",2932,1.0000000,78.8296000,1.0000000,28933,Set,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Size: 4"" (Size: 100mm) Gasket, SOFT IRON RJ B16.20 CL900 R OCTAGONAL",3846,1.0000000,25.0722000,1.0000000,28933,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Size: 6"" (Size: 150mm) Gasket, 316L SS WND GRAPH FILL 316L SS I/R CS O/R RF B16.20 CL150 4.5MM thickness (3.2MM RING) Spiral Wound",3847,1.0000000,8.3319000,1.0000000,28933,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Barrier Fluid of Mechanical Seal / барьерная жидкость для механических уплотнений / Duraclear Synthetic Lubricant DS-4614-32-F, p/n: MLA32486053 18L",2952,45.0000000,21.7000000,45.0000000,2560,Litre,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
"Barrier Fluid of Mechanical Seal / барьерная жидкость для механических уплотнений / Duraclear Synthetic Lubricant DS-4614-32-F, p/n: MLA32486003 208L",2893,45.0000000,21.7500000,45.0000000,2560,Litre,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
"Size: 6"" (Size: 150mm) Gasket, 316L SS WND GRAPH FILL 316L SS I/R CS O/R RF B16.20 CL150 4.5MM thickness (3.2MM RING) Spiral Wound",2900,12.0000000,8.3319000,12.0000000,28901,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Size: 6"" (Size: 150mm) Gasket, 316L SS WND GRAPH FILL CS I/R CS O/R RF B16.20 CL150 4.5MM thickness (3.2MM RING) Spiral Wound",2915,12.0000000,9.3531000,12.0000000,28901,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
M/S REPAIR KIT FOR 172-PC-005A/B/C,2944,1.0000000,16900.0000000,1.0000000,29522,Each,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
"Size: 20"" (Size: 500mm) Gasket, 316L SS WND GRAPH FILL CS I/R CS O/R RF B16.20 CL150 4.5MM thickness (3.2MM RING) Spiral Wound",2953,4.0000000,44.1018000,4.0000000,29534,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
1 PC CASE GASKET ELECTRIC,2955,1.0000000,5.0000000,1.0000000,29651,Each,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
ER70S filler wire,4034,0.0100000,4.0000000,0.0000000,34279,Kg,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
End Cover TC coated for 130-PC-032,4286,1.0000000,5000.0000000,0.0000000,28443,Each,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
M/S repair kit,4386,1.0000000,8450.0000000,1.0000000,28443,Each,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
Casing gasket ID416XOD434X4.5t mm,4387,1.0000000,208.0000000,1.0000000,28443,Each,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
"Прокладка СНП- А-3-416-434-4,5-040",4405,1.0000000,63.5558000,1.0000000,28443,Each,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
"Спец.обувь мужские для рабочих,ГОСТ 28507-99",4038,1.0000000,18.2400000,1.0000000,34285,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
"Спец.обувь мужские для рабочих,ГОСТ 28507-99",4039,1.0000000,18.2400000,1.0000000,34286,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
"Спец.обувь мужские для рабочих,ГОСТ 28507-99",4041,1.0000000,18.2400000,0.0000000,34289,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,4042,1.0000000,0.1000000,1.0000000,34289,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
"Спец.обувь мужские для рабочих,ГОСТ 28507-99",4043,1.0000000,18.2400000,0.0000000,34290,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,4044,1.0000000,0.1000000,0.0000000,34290,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
"Спец.обувь мужские для рабочих,ГОСТ 28507-99",4045,1.0000000,18.2400000,0.0000000,34291,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,4046,1.0000000,0.1000000,1.0000000,34291,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
"Спец.обувь мужские для рабочих,ГОСТ 28507-99",4047,1.0000000,18.2400000,0.0000000,34292,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,4048,1.0000000,0.1000000,1.0000000,34292,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
"Спец.обувь мужские для рабочих,ГОСТ 28507-99",4049,1.0000000,18.2400000,0.0000000,34293,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,4050,1.0000000,0.1000000,0.0000000,34293,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
"Спец.обувь мужские для рабочих,ГОСТ 28507-99",4051,1.0000000,18.2400000,0.0000000,34313,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,4052,1.0000000,0.1000000,1.0000000,34313,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
"Size: 24"" (Size: 600mm) Gasket, 316 SS WND FLEXIBLE GRAPHITE FILL 316 SS I/R 316 SS O/R RF B16.20 CL300 4.5MM thickness (3.2MM RING) Spiral Wound",4053,4.0000000,130.6885000,4.0000000,34315,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Gasket / Прокладка спиральная навитая, графитовый наполнитель, нержавеющая сталь, внешнее кольцо углеродистая сталь, Обруч нержавеющая сталь 316L, (t4.5 xO.D1245 x ID1181), 135-XF-021A/B",4054,1.0000000,312.1928000,1.0000000,34315,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Абразивный отрезной круг Т41 d 125*1,6*22мм",4057,8.0000000,0.6000000,0.0000000,32104,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Аргон газообразный, чистый LAR 5.0",4058,3.0000000,3.5800000,0.0000000,32104,Meter cub.,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Manual brush brush material material SS 38 x 253mm / mm - Ручная крацовочная щетка материал SS 38x253мм,4059,2.0000000,3.0179000,0.0000000,32104,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
ER70S-3 filler wire,4060,0.8000000,8.0000000,0.0000000,32104,Kg,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483725 - O-ring D=34,52 x 3,53 mm, Kalrez 6375, / Уплотнительное кольцо",4062,38.0000000,88.1314000,0.0000000,34330,Each,210109090000,Mechanical (Static) Services,Mechanical Services,,
"70483729 - O-ring D=81,92 x 5,33 mm, Kalrez 6375 / Уплотнительное кольцо",4063,2.0000000,750.2857000,0.0000000,34330,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483728 - O-ring D=72,62 x 3,53 mm, Kalrez 6375 / Уплотнительное кольцо",4064,2.0000000,381.5054000,0.0000000,34330,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483730 - Quanding 53,64 x 2,62 mm, Kalrez 6375 / Кводринг",4065,4.0000000,358.0224000,0.0000000,34330,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"70483724 - O-ring D=31,34 x 3,53 mm, Kalrez 6375 / Уплотнительное кольцо",4066,2.0000000,166.7864000,0.0000000,34330,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"72459919 - Gasket SW, G 2045 x 1995 mm - CGI CS, / Проклакда Розетка Сварная",4061,1.0000000,1303.9950000,1.0000000,34330,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Size: 4"" (Size: 100mm) Gasket, 316L SS WND GRAPH FILL CS I/R CS O/R RF B16.20 CL300 4.5MM thickness (3.2MM RING) Spiral Wound",4116,4.0000000,8.4680000,4.0000000,34330,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Size: 3"" (Size: 80mm) Gasket, 316L SS WND GRAPH FILL CS I/R CS O/R RF B16.20 CL300 4.5MM thickness (3.2MM RING) Spiral Wound",4117,4.0000000,7.7787000,4.0000000,34330,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Size: 3"" (Size: 80mm) Gasket, 316L SS WND GRAPH FILL CS I/R CS O/R RF B16.20 CL300 4.5MM thickness (3.2MM RING) Spiral Wound",4118,4.0000000,7.7787000,4.0000000,34330,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Наждачная бумага от 0 мм до 20мм,4271,1.0000000,4.7835000,1.0000000,34354,Meter sq.,210109100000,Mechanical (Static) spares,Mechanical Static spares,1575,
Oil Mobil Glygoyle 320,4028,3.0000000,19.9845000,3.0000000,34200,Litr,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
"ФУМ-лента 19мм*15м*0,20мм",4068,5.0000000,1.2843000,5.0000000,34257,Each,210109050000,Instrument Spares,Instrument Spares,,
"ФУМ-лента 19мм*15м*0,20мм",4069,3.0000000,1.2843000,3.0000000,34259,Each,210109050000,Instrument Spares,Instrument Spares,,
"ФУМ-лента 19мм*15м*0,20мм",4070,2.0000000,1.2843000,2.0000000,34358,Each,210109050000,Instrument Spares,Instrument Spares,,
ER70S-3 filler wire,4080,0.1000000,5.0000000,0.0000000,34381,Kg,210109010000,Maintenance Welding,Maintenance Welding,,
Electrode / Электрод E8016-B2 Ø2.4mm FLAG SHIP CHINA p/n: ,4077,0.2500000,84.2652000,0.0000000,33423,Kg,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Абразивный отрезной круг Т41 d 125*1,6*22мм",3941,2.0000000,0.6000000,0.0000000,33423,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Шлифовальний круги 125x6.0 22.23 А 24 R BF 80.2,3942,1.0000000,0.9168000,0.0000000,33423,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
E7016 elektrerd,4078,0.1000000,10.0000000,0.0000000,34149,Kg,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Абразивный отрезной круг Т41 d 125*1,6*22мм",4079,2.0000000,0.6000000,0.0000000,34382,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
ER70S-3 filler wire,4081,0.0500000,5.0000000,0.0000000,34380,Kg,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"72349569 - Vibrator shaft 38 x 780 mm - SS, / Вал вибратора",4082,1.0000000,354.6051000,1.0000000,34395,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"72459919 - Gasket SW, G 2045 x 1995 mm - CGI CS, / Проклакда Розетка Сварная",4083,1.0000000,1303.9950000,1.0000000,34395,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Oil Mobil Glygoyle 320,4035,5.0000000,19.9845000,5.0000000,34282,Litr,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
Oil Mobil Glygoyle 320,4037,5.0000000,19.9845000,5.0000000,34284,Litr,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
"Абразивный отрезной круг Т41 d 125*1,6*22мм",4504,1.0000000,0.6000000,0.0000000,34511,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Аргон газообразный, чистый LAR 5.0",4505,0.5000000,3.5800000,0.0000000,34511,Meter cub.,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Абразивный отрезной круг Т41 d 125*1,0*22мм",6544,2.0000000,0.5581000,0.0000000,34512,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Абразивный отрезной круг Т41 d 125*1,6*22мм",4589,1.0000000,0.6000000,0.0000000,34514,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Абразивный отрезной круг Т41 d 125*1,6*22мм",4578,1.0000000,0.6000000,0.0000000,34518,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Глицерин, технический, Температура пл. 17°С, плотность 1,26",4086,5.0000000,1.9571000,5.0000000,34520,Litre,210109050000,Instrument Spares,Instrument Spares,,
KRSTR02A/3  SPARE PART KIT PURGE - FEELER-REPLENISHMENT SIZE 02 for head size D - E1 - E2 - F1 - G,4087,1.0000000,640.2342000,1.0000000,34524,Each,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
"Size: 24"" (Size: 600mm) Gasket, 316L SS WND GRAPH FILL CS I/R CS O/R RF B16.20 CL300 4.5MM thickness (3.2MM RING) Spiral Wound",4099,8.0000000,65.2761000,8.0000000,34314,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Size: 24"" (Size: 600mm) Gasket, 316L SS WND GRAPH FILL 316L SS I/R CS O/R RF B16.20 CL300 4.5MM thickness (3.2MM RING) Spiral Wound",4095,3.0000000,38.7742000,0.0000000,34314,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Gasket / Прокладка спиральная навитая, графитовый наполнитель, нержавеющая сталь, внешнее кольцо углеродистая сталь, Обруч нержавеющая сталь 316L, (t4.5 xO.D1245 x ID1181), 135-XF-021A/B",4096,2.0000000,312.1928000,2.0000000,34314,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Gasket 4.5 thickness. SS 304 SPIRAL WOUND GRAPHITE WITH SS 304 INNER &S.S. 304 OUTER RING ; Size 24 CL 300,4097,5.0000000,126.0076000,0.0000000,34314,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Абразивный отрезной круг Т41 d 125*1,6*22мм",3717,1.0000000,0.6000000,0.0000000,31688,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Шлифовальний круги 125x6.0 22.23 А 24 R BF 80.2,3718,1.0000000,0.9168000,0.0000000,31688,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Аргон газообразный, чистый LAR 5.0",3719,0.0000000,3.5800000,0.0000000,31688,M3,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Electrode / Электрод E7016- Ø2.4mm FLAG SHIP CHINA p/n: ,4102,1.0000000,20.0000000,0.0000000,31123,Kg,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Абразивный отрезной круг Т41 d 125*1,6*22мм",4103,1.0000000,0.6000000,0.0000000,31123,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Шестерня изоляционного оборудования,2894,1.0000000,255.9300000,1.0000000,28937,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Чертеж шестерни изоляционного оборудования DR 873.11.00.01,2895,1.0000000,137.1900000,1.0000000,28937,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
ER70S filler wire,4104,0.1000000,20.0000000,0.0000000,34547,Kg,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Абразивный отрезной круг Т41 d 125*1,6*22мм",4105,1.0000000,0.6000000,0.0000000,28377,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Абразивный отрезной круг Т41 d 125*1,6*22мм",4107,3.0000000,0.6000000,0.0000000,34564,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Grinding Disc (Bulgarian) 125mm / mm - Шлифовальный диск (Болгарка) 125мм,4108,2.0000000,1.0280000,0.0000000,34564,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Стержень из фторопласта Ф4 : d-60 L-1000 мм,4005,2.0000000,17.0954000,2.0000000,33966,Kg,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
Стержень из фторопласта Ф4 : d-70 L-1000 мм,4006,2.5000000,17.0954000,2.0000000,33966,Kg,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
"Pump shaft / Вал насоса IMP SFT 1 49/64X124 1/2 933, номер оборудования: 110-PC-231 A/B, номер детали: 33015793-99",4007,1.0000000,0.0000000,1.0000000,33966,Each,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
"Gasket / Прокладка GSKT 175/8X16 3/4X1/8 955, номер оборудования: 110-PC-231 A/B, номер детали: 60004084",4008,1.0000000,0.0000000,1.0000000,33966,Each,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
"Bearing Bush / Втулка подшипника BRNG 45X30, номер оборудования: 110-PC-231 A/B, номер детали: 68009355",4009,20.0000000,0.0000000,20.0000000,33966,Each,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
"Impeller 1st stage / Рабочее колесо 1-ой степени IMP 13LQX 238, часть насоса, номер оборудования: 110-PC-231 A/B, номер детали: 32007851-04",4010,1.0000000,0.0000000,1.0000000,33966,Each,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
"Casing Wear Ring / Кольцо щелевого уплотнения корпуса CASE WR 4 5/8 238, номер оборудования: 110-PC-071 A/B, номер детали: 67017875",4011,1.0000000,0.0000000,1.0000000,33966,Each,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
Стержень из фторопласта Ф4 : d-70 L-1000 мм,4012,0.5000000,17.0954000,0.5000000,33966,Kg,210109070000,Mechanical Rotating Spares,Mechanical Rotating Spares,,
"72459919 - Gasket SW, G 2045 x 1995 mm - CGI CS, / Проклакда Розетка Сварная",4109,1.0000000,1303.9950000,1.0000000,34616,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Size: 3"" (Size: 80mm) Gasket, 321 SS RJ B16.20 CL900 R OCTAGONAL",2864,2.0000000,73.1059000,2.0000000,28607,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Абразивный отрезной круг Т41 d 125*1,6*22мм",4713,5.0000000,0.6000000,5.0000000,34621,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Абразивный круг отрезной Т41, 14А 230x1.8x22мм",4714,6.0000000,0.8291000,6.0000000,34621,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
Электроды сварочные марки УОНИ 13/55 диаметром 3 мм,4711,10.0000000,1.7829000,10.0000000,34621,Kg,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Аргон газообразный, чистый LAR 5.0",4157,2.5000000,3.5800000,0.0000000,34623,Meter cub.,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Абразивный отрезной круг Т41 d 125*1,6*22мм",4158,2.0000000,0.6000000,0.0000000,34623,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Спец.обувь мужские для рабочих,ГОСТ 28507-99",4119,1.0000000,18.2400000,0.0000000,34673,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,4120,1.0000000,0.1000000,1.0000000,34673,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
"Спец.обувь мужские для рабочих,ГОСТ 28507-99",4121,1.0000000,18.2400000,0.0000000,34674,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,4122,1.0000000,0.1000000,1.0000000,34674,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
"Спец.обувь мужские для рабочих,ГОСТ 28507-99",4123,1.0000000,18.2400000,0.0000000,34675,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,4124,1.0000000,0.1000000,0.0000000,34675,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
"Спец.обувь мужские для рабочих,ГОСТ 28507-99",4125,1.0000000,18.2400000,0.0000000,34676,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,4126,1.0000000,0.1000000,0.0000000,34676,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
"Size: 24"" (Size: 600mm) Gasket, 316L SS WND GRAPH FILL CS I/R CS O/R RF B16.20 CL300 4.5MM thickness (3.2MM RING) Spiral Wound",4127,3.0000000,65.2761000,3.0000000,34672,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Gasket / Прокладка спиральная навитая, графитовый наполнитель, нержавеющая сталь, внешнее кольцо углеродистая сталь, Обруч нержавеющая сталь 316L, (t4.5 xO.D1245 x ID1181), 135-XF-021A/B",4128,1.0000000,312.1928000,1.0000000,34672,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Size: 24"" (Size: 600mm) Gasket, 316L SS WND GRAPH FILL 316L SS I/R CS O/R RF B16.20 CL300 4.5MM thickness (3.2MM RING) Spiral Wound",4129,1.0000000,38.7742000,1.0000000,34672,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
"Спец.обувь мужские для рабочих,ГОСТ 28507-99",4130,1.0000000,18.2400000,0.0000000,34677,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,4131,1.0000000,0.1000000,1.0000000,34677,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
"Спец.обувь мужские для рабочих,ГОСТ 28507-99",4132,1.0000000,18.2400000,0.0000000,34678,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,4133,1.0000000,0.1000000,1.0000000,34678,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
"Спец.обувь мужские для рабочих,ГОСТ 28507-99",4134,1.0000000,18.2400000,0.0000000,34679,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,4135,1.0000000,0.1000000,1.0000000,34679,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
"Спец.обувь мужские для рабочих,ГОСТ 28507-99",4136,1.0000000,18.2400000,0.0000000,34680,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,4137,1.0000000,0.1000000,1.0000000,34680,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
"Спец.обувь мужские для рабочих,ГОСТ 28507-99",4138,1.0000000,18.2400000,0.0000000,34681,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,4139,1.0000000,0.1000000,0.0000000,34681,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
"Спец.обувь мужские для рабочих,ГОСТ 28507-99",4140,1.0000000,18.2400000,0.0000000,34682,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,4141,1.0000000,0.1000000,1.0000000,34682,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
"Спец.обувь мужские для рабочих,ГОСТ 28507-99",4142,1.0000000,18.2400000,0.0000000,34683,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,4143,1.0000000,0.1000000,0.0000000,34683,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
"Спец.обувь мужские для рабочих,ГОСТ 28507-99",4144,1.0000000,18.2400000,0.0000000,34684,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,4145,1.0000000,0.1000000,1.0000000,34684,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
"Спец.обувь мужские для рабочих,ГОСТ 28507-99",4146,1.0000000,18.2400000,0.0000000,34685,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,4147,1.0000000,0.1000000,1.0000000,34685,Pair,210501070001,Safety Equipment & Supplies (PPE),Personal Protective Equipment,,
Проволка Обожонная 5,4148,100.0000000,0.9400000,100.0000000,34686,Kg,210106060000,Operating materials,Material Reservation,691,
Велосипед без двигателя VELOMAX24,4149,1.0000000,227.6800000,1.0000000,34687,Each,210106060000,Operating materials,Material Reservation,,
"Абразивный отрезной круг Т41 d 125*1,0*22мм",6545,3.0000000,0.5581000,0.0000000,34688,Each,210109100000,Mechanical (Static) spares,Mechanical Static spares,,
pH-контроль. CoolGard AD25,4150,1286.0000000,2.2300000,1286.0000000,34690,Kg,210106030000,Chemicals,Material Reservation,812,
