Priority Matrix Answer ID,Priority Matrix Environmental Description,Environmental Risk Score,Priority Matrix Production Description,Production Risk Score,Priority Matrix Repair Cost Description,Repair Cost Risk Score,Priority Matrix Safety Description,Safety Risk Score
254,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
255,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
256,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
257,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
258,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
259,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
260,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
261,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
262,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
263,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
264,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
265,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
266,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
267,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
268,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
269,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
270,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
271,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
272,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
273,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
274,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
275,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
276,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
277,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
278,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
279,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
280,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
281,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
282,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
283,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
284,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
285,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
286,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
287,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
288,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
289,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
290,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
291,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
292,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
293,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
294,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
295,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
296,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
297,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
298,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
299,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
300,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
301,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
302,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
303,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
304,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
305,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
306,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
307,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
308,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
309,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
310,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
311,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
312,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
313,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
314,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
315,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
316,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
317,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
318,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
319,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
320,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
321,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
322,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
323,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
324,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
325,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
326,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
327,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
328,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
329,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
330,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
331,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
332,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
333,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
334,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
335,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
336,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
337,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
338,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
339,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
340,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
341,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
342,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
343,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
344,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
345,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
346,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
347,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
348,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
349,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
350,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
351,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
352,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
353,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
354,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
355,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
356,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
357,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
358,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
359,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
360,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
361,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
362,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
363,,0,,0,,0,,0
364,(D) Minor - Uz GTL Secondary Area Impact,10,"(D) Minor - Single Equipment Outage, leading to Unit SD <$500k, 10% Loss",10,(D) Minor - Repair <$50k,10,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
365,,0,,0,,0,,0
366,(B) Major - Long-term Impact,20,"(B) Major - Major Impact Forced shutdown of 1 Train <$30MM, 50% Loss",20,(B) Major - Repair <$500k,20,(B) Major - One or more serious injury or Permanent disability,20
367,(C) Moderate - Reversible Impact,15,"(D) Minor - Single Equipment Outage, leading to Unit SD <$500k, 10% Loss",10,(D) Minor - Repair <$50k,10,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
368,,0,,0,,0,,0
369,(D) Minor - Uz GTL Secondary Area Impact,10,"(D) Minor - Single Equipment Outage, leading to Unit SD <$500k, 10% Loss",10,,0,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
370,,0,,0,,0,,0
371,,0,,0,,0,,0
372,(D) Minor - Uz GTL Secondary Area Impact,10,"(D) Minor - Single Equipment Outage, leading to Unit SD <$500k, 10% Loss",10,,0,(D) Minor - 1 or more Medical Treatment/ Restricted workday case ,10
373,(C) Moderate - Reversible Impact,15,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,,0,(C) Moderate - 1/more lost work day case due to work related injury.,15
374,,0,,0,,0,,0
375,,0,,0,,0,,0
376,(B) Major - Long-term Impact,20,"(B) Major - Major Impact Forced shutdown of 1 Train <$30MM, 50% Loss",20,(B) Major - Repair <$500k,20,(B) Major - One or more serious injury or Permanent disability,20
377,(B) Major - Long-term Impact,20,"(E) Insignificant - Single Equipment work, no impact to Unit or Train operations <$50k, No impact",5,(D) Minor - Repair <$50k,10,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
378,,0,,0,,0,,0
379,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
380,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
381,(E) Insignificant - Uz GTL Primary Area Impact,5,"(C) Moderate - Unit SD or Short 1 Train SD <$1MM, 30% Loss",15,(E) Insignificant - Repair <$5k,5,(E) Insignificant - First aid - Minor injury to 1/more workers.,5
